Match,Datum,Tid,Hemma,Borta,Resultat,Totalt antal mål
1,11 juni,21:00,Mexiko,Sydafrika,,
2,12 juni,04:00,Sydkorea,Tjeckien,,
3,12 juni,21:00,Kanada,Bosnien och Hercegovina,,
4,13 juni,03:00,USA,Paraguay,,
5,13 juni,21:00,Qatar,Schweiz,,
6,14 juni,00:00,Brasilien,Marocko,,
7,14 juni,03:00,Haiti,Skottland,,
8,14 juni,06:00,Australien,Turkiet,,
9,14 juni,19:00,Tyskland,Curaçao,,
10,14 juni,22:00,Nederländerna,Japan,,
11,15 juni,01:00,Elfenbenskusten,Ecuador,,
12,15 juni,04:00,Sverige,Tunisien,,
13,15 juni,18:00,Spanien,Kap Verde,,
14,15 juni,21:00,Belgien,Egypten,,
15,16 juni,00:00,Saudiarabien,Uruguay,,
16,16 juni,03:00,Iran,Nya Zeeland,,
17,16 juni,21:00,Frankrike,Senegal,,
18,17 juni,00:00,Irak,Norge,,
19,17 juni,03:00,Argentina,Algeriet,,
20,17 juni,06:00,Österrike,Jordanien,,
21,17 juni,19:00,Portugal,DR Kongo,,
22,17 juni,22:00,England,Kroatien,,
23,18 juni,01:00,Ghana,Panama,,
24,18 juni,04:00,Uzbekistan,Colombia,,
25,18 juni,18:00,Tjeckien,Sydafrika,,
26,18 juni,21:00,Schweiz,Bosnien och Hercegovina,,
27,19 juni,00:00,Kanada,Qatar,,
28,19 juni,03:00,Mexiko,Sydkorea,,
29,19 juni,21:00,USA,Australien,,
30,20 juni,00:00,Skottland,Marocko,,
31,20 juni,03:00,Brasilien,Haiti,,
32,20 juni,06:00,Turkiet,Paraguay,,
33,20 juni,19:00,Nederländerna,Sverige,,
34,20 juni,22:00,Tyskland,Elfenbenskusten,,
35,21 juni,02:00,Ecuador,Curaçao,,
36,21 juni,06:00,Tunisien,Japan,,
37,21 juni,18:00,Spanien,Saudiarabien,,
38,21 juni,21:00,Belgien,Iran,,
39,22 juni,00:00,Uruguay,Kap Verde,,
40,22 juni,03:00,Nya Zeeland,Egypten,,
41,22 juni,19:00,Argentina,Österrike,,
42,22 juni,23:00,Frankrike,Irak,,
43,23 juni,02:00,Norge,Senegal,,
44,23 juni,05:00,Jordanien,Algeriet,,
45,23 juni,19:00,Portugal,Uzbekistan,,
46,23 juni,22:00,England,Ghana,,
47,24 juni,01:00,Panama,Kroatien,,
48,24 juni,04:00,Colombia,DR Kongo,,
49,24 juni,21:00,Schweiz,Kanada,,
50,24 juni,21:00,Bosnien och Hercegovina,Qatar,,
51,25 juni,00:00,Skottland,Brasilien,,
52,25 juni,00:00,Marocko,Haiti,,
53,25 juni,03:00,Tjeckien,Mexiko,,
54,25 juni,03:00,Sydafrika,Sydkorea,,
55,25 juni,22:00,Curaçao,Elfenbenskusten,,
56,25 juni,22:00,Ecuador,Tyskland,,
57,26 juni,01:00,Japan,Sverige,,
58,26 juni,01:00,Tunisien,Nederländerna,,
59,26 juni,04:00,Turkiet,USA,,
60,26 juni,04:00,Paraguay,Australien,,
61,26 juni,21:00,Norge,Frankrike,,
62,26 juni,21:00,Senegal,Irak,,
63,27 juni,02:00,Kap Verde,Saudiarabien,,
64,27 juni,02:00,Uruguay,Spanien,,
65,27 juni,05:00,Egypten,Iran,,
66,27 juni,05:00,Nya Zeeland,Belgien,,
67,27 juni,23:00,Panama,England,,
68,27 juni,23:00,Kroatien,Ghana,,
69,28 juni,01:30,Colombia,Portugal,,
70,28 juni,01:30,DR Kongo,Uzbekistan,,
71,28 juni,04:00,Algeriet,Österrike,,
72,28 juni,04:00,Jordanien,Argentina,,